earn,age,eth,height,height_cm,y,x,x_centered
50000,2,3,74,187.96,10.8197782844103,74,6.93201133144476
60000,3,3,66,167.64,11.0020998412042,66,-1.06798866855524
30000,1,3,64,162.56,10.3089526606443,64,-3.06798866855524
51000,2,3,63,160.02,10.8395809117065,63,-4.06798866855524
9000,1,3,64,162.56,9.10497985631836,64,-3.06798866855524
29000,2,3,62,157.48,10.2750511089686,62,-5.06798866855524
32000,2,3,73,185.42,10.3734911817819,73,5.93201133144476
2000,1,2,72,182.88,7.60090245954208,72,4.93201133144476
27000,1,3,72,182.88,10.2035921449865,72,4.93201133144476
30000,1,3,68,172.72,10.3089526606443,68,0.932011331444755
12000,1,3,68,172.72,9.39266192877014,68,0.932011331444755
12000,3,3,65,165.1,9.39266192877014,65,-2.06798866855524
22000,2,3,66,167.64,9.99879773234045,66,-1.06798866855524
17000,3,3,68,172.72,9.74096862303835,68,0.932011331444755
40000,1,3,68,172.72,10.5966347330961,68,0.932011331444755
44000,2,3,70,177.8,10.6919449129004,70,2.93201133144476
7000,3,1,64,162.56,8.85366542803745,64,-3.06798866855524
53000,2,1,73,185.42,10.8780471925343,73,5.93201133144476
5000,3,3,62,157.48,8.51719319141624,62,-5.06798866855524
14000,1,3,63,160.02,9.5468126085974,63,-4.06798866855524
5500,1,3,67,170.18,8.61250337122056,67,-0.0679886685552447
40000,2,3,66,167.64,10.5966347330961,66,-1.06798866855524
34000,2,3,72,182.88,10.4341158035983,72,4.93201133144476
10000,2,1,63,160.02,9.21034037197618,63,-4.06798866855524
27000,3,3,64,162.56,10.2035921449865,64,-3.06798866855524
50000,2,3,72,182.88,10.8197782844103,72,4.93201133144476
41000,1,3,77,195.58,10.6213273456864,77,9.93201133144476
15000,1,3,64,162.56,9.61580548008435,64,-3.06798866855524
25000,1,3,64,162.56,10.1266311038503,64,-3.06798866855524
75000,2,3,72,182.88,11.2252433925184,72,4.93201133144476
27000,1,3,68,172.72,10.2035921449865,68,0.932011331444755
12000,1,3,64,162.56,9.39266192877014,64,-3.06798866855524
30000,1,1,67,170.18,10.3089526606443,67,-0.0679886685552447
21000,3,3,65,165.1,9.95227771670556,65,-2.06798866855524
27000,1,3,64,162.56,10.2035921449865,64,-3.06798866855524
25000,1,3,65,165.1,10.1266311038503,65,-2.06798866855524
24000,2,3,65,165.1,10.0858091093301,65,-2.06798866855524
32000,1,3,67,170.18,10.3734911817819,67,-0.0679886685552447
10000,1,3,68,172.72,9.21034037197618,68,0.932011331444755
11000,1,2,60,152.4,9.30565055178051,60,-7.06798866855524
18700,1,3,65,165.1,9.83627880284268,65,-2.06798866855524
20000,1,3,62,157.48,9.90348755253613,62,-5.06798866855524
3500,1,3,72,182.88,8.1605182474775,72,4.93201133144476
13000,3,1,67,170.18,9.47270463644367,67,-0.0679886685552447
21000,2,3,70,177.8,9.95227771670556,70,2.93201133144476
34000,2,3,68,172.72,10.4341158035983,68,0.932011331444755
17000,1,3,71,180.34,9.74096862303835,71,3.93201133144476
35000,1,3,71,180.34,10.4631033404715,71,3.93201133144476
4000,1,3,73,185.42,8.29404964010203,73,5.93201133144476
14000,3,3,68,172.72,9.5468126085974,68,0.932011331444755
10000,3,3,66,167.64,9.21034037197618,66,-1.06798866855524
25000,1,3,69,175.26,10.1266311038503,69,1.93201133144476
16000,1,3,63,160.02,9.68034400122192,63,-4.06798866855524
16000,1,2,62,157.48,9.68034400122192,62,-5.06798866855524
16500,2,3,64,162.56,9.71111565988867,64,-3.06798866855524
3840,3,3,67,170.18,8.25322764558177,67,-0.0679886685552447
22000,2,3,71,180.34,9.99879773234045,71,3.93201133144476
200,3,3,60,152.4,5.29831736654804,60,-7.06798866855524
26000,1,3,66,167.64,10.1658518170036,66,-1.06798866855524
2500,1,3,66,167.64,7.82404601085629,66,-1.06798866855524
17000,2,3,65,165.1,9.74096862303835,65,-2.06798866855524
8000,1,3,70,177.8,8.98719682066197,70,2.93201133144476
10000,2,3,62,157.48,9.21034037197618,62,-5.06798866855524
15000,2,3,72,182.88,9.61580548008435,72,4.93201133144476
2400,2,2,67,170.18,7.78322401633604,67,-0.0679886685552447
30000,1,2,68,172.72,10.3089526606443,68,0.932011331444755
30000,1,3,70,177.8,10.3089526606443,70,2.93201133144476
10000,2,3,62,157.48,9.21034037197618,62,-5.06798866855524
5000,1,3,63,160.02,8.51719319141624,63,-4.06798866855524
12000,3,3,66,167.64,9.39266192877014,66,-1.06798866855524
20000,3,3,70,177.8,9.90348755253613,70,2.93201133144476
20000,2,3,68,172.72,9.90348755253613,68,0.932011331444755
20000,1,3,70,177.8,9.90348755253613,70,2.93201133144476
1200,1,3,66,167.64,7.09007683577609,66,-1.06798866855524
700,1,3,68,172.72,6.5510803350434,68,0.932011331444755
20000,1,3,70,177.8,9.90348755253613,70,2.93201133144476
10000,1,2,61,154.94,9.21034037197618,61,-6.06798866855524
40000,3,3,64,162.56,10.5966347330961,64,-3.06798866855524
60000,3,3,69,175.26,11.0020998412042,69,1.93201133144476
16040,1,3,64,162.56,9.68284088142051,64,-3.06798866855524
15000,1,1,67,170.18,9.61580548008435,67,-0.0679886685552447
10000,1,3,69,175.26,9.21034037197618,69,1.93201133144476
33000,2,3,67,170.18,10.4042628404486,67,-0.0679886685552447
18000,1,3,68,172.72,9.7981270368783,68,0.932011331444755
15000,2,3,63,160.02,9.61580548008435,63,-4.06798866855524
21000,1,3,71,180.34,9.95227771670556,71,3.93201133144476
21000,2,1,64,162.56,9.95227771670556,64,-3.06798866855524
37000,2,3,68,172.72,10.5186731916264,68,0.932011331444755
38000,2,3,68,172.72,10.5453414387085,68,0.932011331444755
17000,2,2,66,167.64,9.74096862303835,66,-1.06798866855524
32000,1,3,77,195.58,10.3734911817819,77,9.93201133144476
27500,3,3,67,170.18,10.2219412836547,67,-0.0679886685552447
16500,2,3,62,157.48,9.71111565988867,62,-5.06798866855524
